trial,legitimate_handshake_ms,byzantine_eviction_ms,legitimate_peer_survived
1,15,524,true
2,15,512,true
3,15,507,true
4,29,511,true
5,14,511,true
6,14,510,true
7,30,507,true
8,14,513,true
9,14,508,true
10,30,511,true
11,13,513,true
12,14,513,true
13,14,514,true
14,30,513,true
15,13,509,true
16,14,514,true
17,13,512,true
18,14,515,true
19,14,510,true
20,13,525,true
21,12,502,true
22,29,515,true
23,15,529,true
24,29,511,true
25,15,513,true
26,27,515,true
27,27,525,true
28,30,511,true
29,15,511,true
30,14,512,true
31,15,514,true
32,14,510,true
33,31,506,true
34,14,513,true
35,13,514,true
36,29,515,true
37,12,510,true
38,14,513,true
39,13,510,true
40,13,511,true
41,13,509,true
42,14,505,true
43,13,513,true
44,14,503,true
45,13,515,true
46,29,510,true
47,14,513,true
48,14,514,true
49,13,514,true
50,13,515,true
