trial,legitimate_handshake_ms,byzantine_eviction_ms,legitimate_peer_survived
1,32,668,true
2,45,670,true
3,60,667,true
4,44,665,true
5,44,661,true
6,44,665,true
7,46,658,true
8,46,681,true
9,45,670,true
10,62,681,true
11,45,662,true
12,44,659,true
13,45,660,true
14,59,669,true
15,45,664,true
16,45,663,true
17,45,666,true
18,60,658,true
19,43,661,true
20,46,659,true
21,45,661,true
22,45,657,true
23,45,663,true
24,45,674,true
25,43,666,true
26,46,659,true
27,44,660,true
28,45,662,true
29,46,657,true
30,46,668,true
31,46,662,true
32,44,664,true
33,44,675,true
34,45,674,true
35,45,668,true
36,46,670,true
37,43,668,true
38,46,665,true
39,45,669,true
40,46,661,true
41,61,667,true
42,46,664,true
43,44,683,true
44,45,667,true
45,45,663,true
46,61,660,true
47,45,669,true
48,45,667,true
49,46,664,true
50,60,665,true
