trial,legitimate_handshake_ms,byzantine_eviction_ms,legitimate_peer_survived
1,15,514,true
2,0,512,true
3,14,516,true
4,14,529,true
5,14,528,true
6,14,514,true
7,0,513,true
8,30,510,true
9,0,512,true
10,0,513,true
11,14,513,true
12,30,511,true
13,15,515,true
14,15,516,true
15,14,514,true
16,15,515,true
17,15,515,true
18,0,509,true
19,14,512,true
20,0,502,true
21,14,514,true
22,0,514,true
23,0,513,true
24,15,503,true
25,0,525,true
26,14,532,true
27,15,511,true
28,1,512,true
29,14,513,true
30,0,530,true
31,30,515,true
32,14,530,true
33,14,511,true
34,15,515,true
35,14,513,true
36,15,512,true
37,0,515,true
38,0,513,true
39,15,514,true
40,14,512,true
41,14,515,true
42,0,513,true
43,0,514,true
44,0,515,true
45,0,515,true
46,30,516,true
47,15,514,true
48,14,502,true
49,0,510,true
50,15,511,true
