trial,legitimate_handshake_ms,byzantine_eviction_ms,adversary_banned_honest_survived
1,0,46,true
2,0,46,true
3,0,46,true
4,0,46,true
5,0,46,true
6,0,46,true
7,0,46,true
8,0,45,true
9,0,46,true
10,0,46,true
11,0,45,true
12,0,45,true
13,0,46,true
14,0,46,true
15,0,46,true
16,0,46,true
17,0,46,true
18,0,46,true
19,0,46,true
20,0,45,true
21,0,46,true
22,0,46,true
23,0,46,true
24,0,46,true
25,0,45,true
26,0,46,true
27,0,46,true
28,0,46,true
29,0,46,true
30,0,46,true
31,0,45,true
32,0,45,true
33,0,46,true
34,0,46,true
35,0,46,true
36,0,46,true
37,0,46,true
38,0,46,true
39,0,46,true
40,0,46,true
41,0,46,true
42,0,45,true
43,0,46,true
44,0,46,true
45,0,45,true
46,0,46,true
47,0,46,true
48,0,46,true
49,0,46,true
50,0,46,true
